ori_sentiment,tweet_text
happy,on the Tube thanks to Completely thrilling!!
nocode,I want to read about LondonArtWeek
happy,Makeway for Noddy! Enjoying new #EnidBlyton exhibition #SevenStories
happy,Setting up at St Peters Cambridge for #CastleHill open day. Looks to be a great day!
nocode,James Richards composes a sonic score for a Francis Bacon painting part of VAC Collection displays
nocode,I remember watching them build that from my office in the tower next door.. now a hotel
happy,I knew that working only in graphite would one day pay off
happy,"today is fun, taking a #museumselfie whilst photographed me in #socialfabric exhibition!"
nocode,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt
happy,"Excited to have a FLASH Residency at this Summer, starting next month!"
nocode,See all the photos from wednesday is #DefeatingDepression event at
nocode,Friday night listening to Tim Knox speaking about country house collections #objects2015
happy,"Had the most amazing morning at the #emptyNG event, such a privilege! Big thanks to and the for having us😍"
nocode,An auspicious jewel: a symbolic bubble for a C19th Japanese painting of the Seven Gods of Good Fortune
nocode,"#ShoutAbout #AskTheGallery Have you got any plans for #London focussed exhibitions? i.e ""London through the ages"""
nocode,"'Life Lessons from the Old Masters', on Death. July 4 #DeathArt with Jon Underwood &amp;"
happy,. curated a superb show of paintings by Terry Frost now on #terryfrost #leeds #painting
happy|surprise,The new Waddesdon Collection room at is quite something. I have not seen so much bling since Vienna!
sad,"i am trying to book the members curator talk or guided tour for pollock, but the links do not work. Are they sold out?"
happy,A new look at ancient Egyptian textiles via
nocode,Come &amp; hear songs from the Folkways archive played by &amp; band. July 7.
happy,"Looking forward to a workshop on working with older ppl, exploring diversity &amp; sustainable partnerships #agefriendlymuseums 😊"
nocode,Vast Database of African Rock Art Goes Online
nocode,"Nicholas Penny, outgoing director is knighted ""for services to the arts."""
nocode,Day 56: of Australia gardens in Canberra. #100daysofAustralia #apicaday
nocode,"Fallen Emperor: Napoleon in #Plymouth Sound in 1815, exhib until 26th Sept #art #waterloo200"
surprise,that one looks so real
nocode,Coffee time: i am thinking of you Pen is a pen is a pen... Like a rose
nocode,James Richards accompanying Francis bacon goosebumps ❤️
nocode,on INSTA. Today is the longest day in the northern hemisphere – here is the #SummerSolstice at Stoneh…
nocode,we are open until 9pm tonight. Start your weekend with us: via
nocode,Make an LED circuit brooch at the British Museum this weekend
nocode,Dear #divestment is on the up. Will u join in &amp; stop accepting $ from the fossil fuel industry? #AskTheGallery
nocode,Short video clip of Termas: Underwater Throne performance last weekend
happy,Little bit excited about this tomorrow. it is a BIG weekend for and friends. #CastleHill15
nocode,I think for web viewing it is hard to get the right balance. They can not help the Forgers and Copyists too much!
happy,Today and I are off to look at some mummies at #happysuday
nocode,ok 10 mins...
happy,Enjoyed the excellent artist talk by Glen Ligon.
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
nocode,Please have a look and comment on our Lichtenstein Art!
surprise,Did Napoleon really say Britain was a nation of shopkeepers?
sad,yes mermaid wonderfully scary for the kids but now seems to have gone last time we looked
happy,We popped to at lunch today to see this lovely exhibition! Highly recommended! #MOOi #cambridge
happy,Unmissable! Summer Show opens tonight. En route via
nocode,I was at the earlier today and thought if you..
nocode,#UK to try to block departure of #Cezanne painting &gt;
happy,it is beautiful the colours are so lush and vibrant!
happy,it is amazing &amp; uplifting to visit in #London. Art is the way to purify the soul
happy,"the Herakles one? Yes, found it very interesting!"
nocode,is sending us to this Friday. Come to see the latest 3D visualisations of weather forecast data
nocode,#JamesRichards combines new installation with turbulent #francisbacon at
happy,Lost in the exquisite crosshatching of this Hendrik Goltzius silverpoint self-portrait on view
nocode,"#Repost ・・・ Cupid finds Psyche in this watercolour by Edward Burne-Jones, who died…"
not-relevant,#freethenipple
happy,Loving the Monets at in London. #inspiration #creativity
nocode,Book spotting at the other week
happy,wonderful ....gorgeous
not-relevant,#AskTheGallery Nicholas Penny: Will you reinstate Candy Unwin who a judge believes was dismissed for Trade Union activity?
happy,Great visitor services from who sent me a new bag for life when mine was faulty will muss you dearly! #thankyou
nocode,is putting all of the shots together so will be on website soon
happy,#DefiningBeauty stunning. See it while you can awe inspiring and uplifting.
nocode,FREE PENS GIVEAWAY on our FB page...
happy,Another lovely visit to i am always delighted &amp; uplifted by the children is Commission showing the wonderful school projects
not-relevant,please contact today and stop this destruction of fertile lands.
nocode,19thc Aussie indigenous resistance leader Jandamarra weapons #twitterstorians
happy,EXQUSITE!
nocode,Jericho skull ME 1274142 &amp; Amenhotep III EA 3 and a glass of rosé with
not-relevant,"no need to worry, everyone else knows anyway. You are a very lucky man :-"
happy,. Definitely one our our favourite places too! we are absolutely thrilled we are now a short walk away!
happy,Mini-potter around galleries I rarely see love the Clocks gallery &amp; the incredible automata #museums
nocode,there is still time to enter our art DVD and book bundle giveaway. Find out more here: htt... via
happy,"Saw these and thought of you #AnimalMummies EA 6773, 11134, 6752, 26847 #GiftsForTheGods"
nocode,"i am at in London, Greater London w/"
nocode,do today is visitors to a picture gallery have different expectations to those of yesteryear? Can you illustrate?
happy,#artnews for your Sunday afternoon: fantastic new exhibit We &lt;3 #DCmuseums!
happy,Just a little bit excited! The Castle Hill Open Day 2015 schedules have arrived :…
happy,FINALLY it is #DefiningBeauty day! Can't wait to feel overwhelming awe.
nocode,Last chance to see kettle is Yard for two years!!!!
happy,"A ‘sparkling show' of Turner, Singer Sargent &amp; Cézanne watercolours Cambridge"
nocode,Ancient beauty and modern lives via
nocode,Bacchae are getting ready for performing at the on the 23rd July! Have a look here for more details!
happy,So... and are responsible for trending #SummerSolstice in America. Hell yeah:
happy,Another wonderful day! At the Castle St Methodist Church. Please come by!
nocode,is there any particular message?
nocode,Do you know what is hidden in holbein is 'The Ambassadors'? Visit room 4 to find out: http:... via
nocode,"A book symbolises wisdom, armour resistance to hardships of life, glass may be for medicine?"
happy,I only really know the de Hoochs in the Thanks for posting these.
surprise,"Wait, no, is there a secret Leonardo drawing slipped inside one of the books?"
happy,Always my first stop in London.
nocode,'Watercolour: Elements of Nature' opens this week at the
happy,Many thanks for that.
not-relevant,"The 2rd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
happy,Today i am at my favourite museum pictures to follow
not-relevant,Join me for an art discussion 'Setting the Scene'! #art #shoreditch #hypeapp
nocode,EXPOSE yourself to the elements; Watercolour Elements of Nature opens today 16 Jun-27 Sep 🎨☔️⛅️
nocode,"""The Ancient Egyptian exhibition never fails to teach me something new. there is a..."" Foursquare Tip"
happy,Had a fantastic day at the managed to get into both #8mummies and #IndigenousAustralia exhibits. Both great!
happy,"Taking the day off work to go to the Gaudier-Brzeska exhibition at Just in time, too closes on Sunday!"
nocode,Inspire your budding junior artists #FamilyProgramme #Children #DubliNow
nocode,LAST CHANCE to see The Production Line of Happiness by American photograpgher #ChristopherWilliams
happy,Gorgeous! Look at the craftsmanship!!! Repost with repostapp. ・・・ Born #onthisday in…
happy,Fancy! And lucky!! Don't forget to let me know if the Haka workshop gets booked in :
surprise,oh god!
happy,"Our favourite is 'cos of all the old-school videogames they have for you to play, &amp; the ancient computers!"
nocode,Our manager Rosh has a piece in #EvolverPrize2015 exhibition which starts next week
sad,"Hi been trying to phone for two days and no one ever picks up, are your phones down?"
nocode,Next week the Roadshow will be &amp; Sunderland Library book your place at
happy,Got my train ticket booked already! #cantwait
nocode,.How To Make A Turquoise Goblet. via
not-relevant,Now you can ask the Director of with #AskTheGallery
not-relevant,"The second GENOCIDE against #Biafrans as promised by #Buhari has begun, 3 days of unreported aerial Bombardment in #Biafra"
nocode,"Laura Smith from brilliant on Woolf and Kristeva, feminine vs. masculine time #materialhistories"
nocode,nigga wearing chestnuts
nocode,Discover The Arts with Social Media: Rod McIntosh Co-Founder of NOHO Artists #London #Art #Video
surprise,"Yes, it is. it is hard to believe that Bernard Berenson disparaged Reni."
happy,yes see you all #EvolverPrize2015 #Art #southwest
nocode,thanks we will let them out again past the massive door.
nocode,we are next door to
nocode,"The Greek inscription on the sitter is cap in this work translates to 'Alas, I desire too ... via"
nocode,"#LastChance See Christopher william is exhibit ""The Production Line of Happiness"" at Closes Sunday!"
happy,Very interesting conference coming up #artmarket
nocode,Lessons in Death and Living. Death in paintings. Can we still relate to them?
not-relevant,We are very pleased to provide the speaker cable for #Soundscapes at the
surprise,"Gold finger ring/armillary sphere, German, 17thc. Curious to know how this is worn on the finger."
nocode,Here a #Girl luring quicksilver from a mine with her beauty c18th #Mughal
happy,Review of a super workshop at looking at canaletto is Festival of St Roch from my art diary.
happy,Last weekend to go to in #Cambridge for two years this weekend. GO GO GO! #art #culture #refurbishment
nocode,"""valleylist v340 r.1—medium is the message should work for most people most of the time--internet"
nocode,it is a greave!
nocode,"Saw this &amp; thought of you Mummy of unidentified man, Roman Period EA 6714 #DeadThings"
happy,Undoubtedly one of the most beautiful museums in Europe.. missing a few marbles though .....#Greece
nocode,Currently filming 'The Spice Box' for a permanent legacy in the House.
happy,Lovely reception at the on Monday #eventprofs
happy,Looking forward to volunteering for with a visit to today
nocode,Your courteous reminder Cambridge closes for a two year refurb on Sunday.
nocode,Just realised that was you at talking to just before you came &amp; put your halfpennies in the box
nocode,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt
nocode,"do u consider 1 work the 🌟 around which you build engagement w collection, or do u take a holistic approach? #AskTheGallery"
happy,One of my favourite galleries in
nocode,hi what is the strike about please?
nocode,"LATEST PURGE ANNOUNCEMENT: Athens Now , new Frans Zwartjes album, Endless Tape Series, EC1 &gt; &gt; &gt;"
nocode,""" Everything you need to know about Jackson #Pollock &gt;&gt; gotta go"
happy,Excited for our #SummerSchool session tomorrow. With speakers from and
nocode,""" #NG365 No.51 bronzino is ""Portrait of a Young Man"", on loan to #art #twitart"
nocode,Review of display at of their El greco is to mark the loan of an altarpiece from the Louvre.
nocode,#Minneapolis #rock the garden
happy,Such a lovely space and nice to perform in too x
nocode,well said
happy,it will be fun!
happy,no worries. Good to hear we might see you on 4th. I wondered from some tweets if you might
nocode,Head to the for an Inside a Paris goldsmiths' workshop: From design to gold box with Dr Heike Zech
happy,we are feeling very Enid Blyton today: an Enid expo starts today try for Famous 5 action
nocode,WATERCOLOUR Elements of nature exh opens today. Accompanied by display of Turner watercolours.
not-relevant,Le directeur de la est en Q&amp;A demain... profitons-en!!
happy,Now that is art.
nocode,Ancient Jomon pot reused 200 yr ago in tea ceremony #archaeology #objects2015
happy,So happy that my work has been selected to exhibit for the #EvolverPrize2015 !!
nocode,Thank you #London for keeping those safe #Assyrian #Mosul #Iraq #Mesopotamia #War #Heritage
nocode,oh yes it would: ask :-D
nocode,We license Koan sculptures in promotional materials for #IMOOS
nocode,response from originalility of #SoundsOfOurShores rebutted w- un-originality of concept
nocode,{ } #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics
nocode,"""monet is 'Green Park, London'"
nocode,Only a few days left to enter comp to #win a trip for 2 with
happy,Favourite picture of the day.
happy,"Thanks so much for fave + RT today, much appreciated! Have a good weeked:"
nocode,Coin Room displays Genesis Block
nocode,Are there some 'Turners' in there Ann?
happy,Excellent Christopher Williams
nocode,A Twitter Q&amp;A at 14.00 BST . #Waterloo200 #BonaparteAndTheBritish &amp;
angry,After staff privatisation next selling off donated works. Councils can do this without consultation. Ask about missing art
happy,thank you for coming Helen- it was lovely to meet you and I am so glad you enjoyed it!
nocode,"If you are in to moving image, there are screenings/events/discussions on the topic at tomorrow!"
nocode,
happy,Fascinating exhibition coming to Stay tuned for details.
nocode,Our Anniversary conference is from 9 to 5 on July 3 Attendance is free booking is essential through the BM box office.
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
nocode,"and for public urinals called ""vespasiennes"""
happy,Very intense and well written on #LGBT history and exhibition #DefiningBeauty on of R.B.Parkinsson
nocode,Today 1.10pm £2: Making and Promoting British Art
happy,#AncientLives exhibition. Wow!
nocode,members &amp; supporter email you MP urging them to attend debate 25 June #noprivatisation #reinstatecandy
happy,Wonderful landscapes too.
nocode,yes it is a bit of #skullduggery
surprise,"Hang on, that building has only just been renovated and at very great expense ..."
not-relevant,"""Creepy face appears in St Ives scone"""
happy,we are really excited about the Jackson Pollock exhibition at the end of the month!
nocode,My article out now on why ancient Greece is on everyone is lips:
nocode,Join our Monday night half price wine club at #NationalCafe and enjoy our new bar menu
happy,Been talking clay pipes and pottery with today. The beginnings of a fab collaborative project.
nocode,"""Athens Now!"" A symposium of radical film from contemporary Greece 4 Jul, 1.45pm"
nocode,Lunch time at the #refuel
not-relevant,"Twitter Q&amp;A tmrw 10.30-11.30 with Director. #AskTheGallery today to #KickOutShell, #ReinstateCandy"
not-relevant,i will come if we can get bevvies after 😁😂
nocode,#FF
nocode,so greave sis the fancy name for shin guards my english is progressing by leaps!
happy,Doing research about the British Museum one of the most fabulous places for archaeology!
nocode,"Incidentally, he will be in convo tomorrow talkin' theatricality in contemp art &amp; stage design"
happy,. Within a day I realised we needed to buy two of titian is greatest painting... via
nocode,Any favourite artworks made to commemorate #Waterloo200 ?
nocode,☕
nocode,"Budding artist that cant stop drawing, get your kids artwork on the walls of &gt;&gt;"
disgust,"I know, so disgusting. should be ashamed."
happy,Late Pollock set to be one of the most provocative &amp; absorbing shows
nocode,I believe Mrs Thatcher thought it was a compliment and used it frequently in her speeches
happy,Showing your workings The Production Line of Happiness. Really interesting hang and subject
happy,always manage to be fresh and unexpected &amp; they have done it again with #pollock . Brilliant.
nocode,Any analysis of metal compounds within the Prussian forces swords? #BonaparteAndTheBritish #Waterloo200
sad,"Wish would help more with improvements to Bloomsbury Sq, where hundreds of visitors to the museum pass through every day!"
happy,The Cantabridgia Daili is out! Stories via
nocode,Artist Jackson pollock is black pourings to be exhibited in largest exhibition for 3 decades
happy,"What a treat RT Exhibited for the first time in 15 years, ruskin is Turners are on cont"
happy,Patients of Sharp Ward are enjoying historic views of the city thanks to
happy,The crowds were out in force at the today. Lovely warm afternoon.
nocode,#objects2015 at the for the second keynote by Tim Knox
nocode,This Sat #CastleHill15 is packed with free events indoors &amp; out for all ages plus last chance to see
happy,"My favorite museums in #London are , and artifacts in Military,Human Civilizations and Geology."
happy,Looking forward to Honiton Ice cream shop visit on the way to in July to see Prize 2015. Glad to be showing too
happy,Odin blesses you! = :0 #FF
happy,Checking on the archive @ the #HamiltonKerrInstitute thank you for showing us around
happy,Gaaf het gebruikt periscope om rondleidingen te streamen
happy,Saw this on visit with daughter.History of 'zar' ceremonies where used -fascinating. #SudaneseLyre
happy,A marvellous piece on &amp; rightly so. Jackson Pollock exh opens June 30 so make your way to Liverpool!
happy,Fantastic!
angry,"Now in Parliament: whistles, banner, leaflets confiscated. 3 managers here on time. #noprivatisation #reinstatecandy"
sad,lots of disappointed people at the gallery today #strike #sadface
nocode,Celebrate the Feast Day of John the Baptist next week at our talk on his life depicted in... via
happy,Off to see s first solo exhibition tonight!
happy,"Thank you for this interesting information, have a nice day!"
nocode,Students ages 16+ can get a taste for subjects they are interested in as arranged by sign up now
nocode,"Roman gem engraved with Odysseus, his ship, and three sirens. Via archives"
nocode,Start your #FirstThursday at Ceviche Old St Gallery from 6pm next week:
happy,Beautiful Roman period statue of girl playing knucklebones tucked away where I had not seen it before
happy,Cool thing to stumble upon tween meetings #yearofpercussion #persepolis
happy,Delighted to have work selected for the #EvolverPrize2015 on July 4th
happy,And two works from are part of the rather thrilling story of Hepworth and Ben Nicholson in London in the 30's #Hepworth
happy,"thanks for fav-ing. I spent 40m in yr place b4 a biz meeting and you know what, my heart soared! #artforthesoul"
happy,BritishMuseum: RT LOVED Ancient Lives &amp; New Discoveries so fascinating and ama…ht…
nocode,Watercolour: Elements of Nature' opens this week at the
nocode,Don't forget to check out this weekend!
happy,superb. Great to see you educating people. My personal all time favourite? Carravagio.
not-relevant,National Gallery dispute to be discussed in Commons in adjournment debate at 4pm today
nocode,hayden is Surprise symphony?
happy,"The craftsmanship is so stunningly beautiful, hope to see it in person soon!"
happy,Thank you Dr Doria Tichit and for a facinating afternoon
nocode,might end up closer to you once most of them are back at or 😎
nocode,Dear here you are #Pizzidimonte where was found the #Offerente that now is in you #museum #regards
happy,the could keep you busy for so long! its packed with history!
happy,that is my favourite bit. it is got a mermaid and everything!
nocode,"""Every good painter, paints what he is"" said artist #JacksonPollock. View his black period through Blind Spots exhibition at"
nocode,diving deep into this.
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
nocode,Have you seen the summer menu at the Great Court Restaurant
nocode,Work by #AnthonyCaro &amp; Renaissance painter #Duccio displayed together at for first time
nocode,NEW » Portrait Of An American Dream: Jackson Pollock &amp; Glenn Ligon Revealed
happy,Cant wait to go to the #AudreyHepburn Exhibition #icon Idolised this lady since I was a little girl.
happy,Looking forward to tonight is talk on my hero Napoleon with
not-relevant,Develop your fundraising career at one of the world is leading arts organisations! Apply to work for
happy,Amazing
happy,GLORIOUS PERSPECTIVE OF KIDS they see things in such a twinkly way #rt #kid
happy,Wow theyre #3dprinting a very ancient #museum pot for the millionth visitor #Exeter #technology #history
nocode,Encampment of the Royal Engineers in Bois de Boulogne after Battle of Waterloo by G.J. Scharf 1815
nocode,The pivotal series of 'black pourings' by #JacksonPollock are on show from 30 June. #RARecommends
nocode,Book for Field visit programme &amp;
happy,oh wow! that is fantastic!
nocode,What public programs of the museum have you found most effective and interesting for your audience? #AskTheGallery
nocode,Egon Schiele at the moment.
happy,‘The Park is Open'… via &lt; AWESOME!
nocode,BBC News Tate St Ives acquires Barbara hepworth is Palais de Danse workshop
nocode,"i am at in London, Greater London"
happy,Great #collection preserved for the future by !
nocode,"Cfp ""Negotiating art ǀ Dealers and museums 1855-2015"""
happy,"My favourite painting at was 'Noli me tangerine' by an unknown 14th C artist. I could see Jesus, but not a single orange!"
nocode,MPs urge government to intervene to resolve #PCS dispute over privatisation at
happy,"thank you for this excellent tour of #Waterloo200 from Columbus, Ohio."
nocode,Studio visit with Karl Bielik ahead of #londonopen
happy,Spent my afternoon admiring the enchanting objects in the new Waddesdon bequest display A must visit!
happy,In case I do not love the enough check their swoony coffee cup design! HT
happy,Defining our beauty amazing group of creative older people perform tomorrow eve #creativeaging thank you
happy,welcome to Kerepakupai Vena!
nocode,Journey through our rooms and collection by following us on Instagram: via
nocode,Formidabile✨
nocode,The tranquillity of the members room and chance to reflect on those drawings yet to emerge on the page
nocode,From The Tomb Of #Nebamun — 1350 BC | #Egyptology #Archaeology #AncientEgypt
nocode,you are. You are. When you are. This is the Tate!
happy,Excited to be enroute to this #nighttrain #artistnetworks
nocode,Zoroastrian Heritage. photo #flickstackr
nocode,"Another flying soul εΐδωλον by ""the great master of the white lekythos"""
nocode,#ff
happy,Looking forward to the Pollock show opening at tonight. Looks like an incredible show! #JacksonPollock #blindspots
nocode,
nocode,
nocode,What is the symbology behind the broken scepter?
nocode,Decoding Anglo-Saxon art via
nocode,Why Jackson Pollock gave up painting #Art
nocode,Object based learning from #ccconf2015
nocode,Evacuation at
nocode,#berthemorisot is daughter #JulieManet wrote a frank diary about the family
happy,Just because it is #Monday! An Old Woman The #Ugly Duchess by Quinten Massys #art
nocode,The Grand Elector?
happy,Judging by #DefiningBeauty the Greeks had a good go at just that. I have #AlexanderTheGreat hair envy.
nocode,How is the exhibition schedule decided and how does your role as Director feed into this? #AskTheGallery
happy,Boulevard Montmartre at Night by Camille Pisarro #FavouritePaintingFriday
nocode,here is what Dumfries has
not-relevant,The Minions are still on the loose! Last spotted outside the #MinionMania
nocode,"A trailer for my brand new film, The Touch Diaries! Previewing 9th July"
surprise,A veteran priest could probably whip out a heart in about 30 seconds with that... ❤️🔪😱
nocode,MA Curating trip:
nocode,😂😂
happy,Looking forward to attending #DefeatDepression at this evening.
happy,Love!
nocode,.37 Paintings. 11 Drawings. exhibits #Wtewael from Jun 28-Oct 4. #GoldenAge
not-relevant,"@ RT: ""RT Today marks the 200th anniversary of the Battle of Waterloo, f..."""
nocode,New Pollock exhibition looks back at a time when Jack the Dripper splashed out
nocode,#askthegallery do you see a decline in attendance in the last few years in young people?
nocode,London by atcassc246 #enlightenmentgallery #library #gallery #museum #cabinet #artifacts #statue …
nocode,it is Lincoln #materialhistories
happy,Look at our great fun we had today. Thank you Deena.
nocode,"感動 at in London, Greater London w/"
not-relevant,Thanks for sharing! you are now featured on
happy,Regal. Frans Hals is so deserving of this frame.
happy,Really looking forward to visiting this weekend to see Corin sworn is award-winning installation &gt;&gt;&gt;
nocode,"Lessons in death and living 4 July, 2–4 with Jon Underwood &amp; Christina Bradstreet"
nocode,Londres:
nocode,Londoners interested in #nature may enjoy this free event #London
happy,BritishMuseum: RT Spent the morning learning about #8mummies Fascinating and well-pres…
happy,2 very special places: we loved going to the when I was training in London; and now we are regular visitors to the
happy,"Go if you can, is a beautiful and inspiring place."
happy,Quina enveja!!! Gaudeix moltíssim!!
happy,". ... not forgetting world class art &amp; stunning exhibits at at the Fitzwilliam Museum, Scott Polar Institute and Zoology Museum"
nocode,how long is the Enid blyton exhibition on for?
not-relevant,Your analysis superficial: Financial picture of museums in the UK is dire thanks to tory policy
not-relevant,nan
nocode,Una app con actividades en torno a la colección de la para niños a partir de 9 años. #appartkids
angry,#AskTheGallery Will Candy Udwin be reinstated and she and her colleagues be paid a living wage?
nocode,The Touch Diaries trailer! premiere 9th July
nocode,Would you like to welcome children with hidden impairments to the museum? see this
angry,"and thanks to the Tories no one can get close to see it,let alone have a festival, remembering 85"
not-relevant,A warm welcome to all our #FF followers this week
nocode,. Today is longest day in northern hemisphere – #SummerSolstice at Stonehenge
nocode,"Weapons of resistance: Jandamarra, a hero of the Bunuba people via"
nocode,Simon Armitage in conversation with Thresholds poet Matthew Hollis on 6 July:
happy,One of the few items delivered in your post that will make you smile. let is head back to
happy,"The Nereid Monument was built in Ancient Lycia Turkey. Pinched by 19th Century tourist, now at"
nocode,CultureGeek via
nocode,Our sister museum has a Waterloo exhibition this year.
nocode,"i am at in London, Greater London"
happy,uccello is 'The Battle Of San Romano'-Loved it when I learnt abt it and even more when I actually saw it at Nat Gall.
nocode,"#glitter Turq dress worn for a precursor of #Strictly collections on display, &amp; own pattern 4 crochet mini"
not-relevant,Congrats &amp; who have won a pair of tix to The Artists Present on Sat! Collect tix from box office
nocode,si troppo tardi anche per me 😦
nocode,"Weapons of resistance: Jandamarra, a hero of the Bunuba people vía"
nocode,en what about artist Larry Bell still making art ?
nocode,Actually it might be ivana is big sister..
nocode,quern-magnet
nocode,...and then visit ‘Fallen Emperor: Napoleon in Plymouth Sound in 1815'
happy,Especially looking forward to hearing and from on the panel at #Circuit2015
happy,"Loved hearing from Stephanie Straine, co-curator Pollock sharing her joy &amp; passion for his genius"
nocode,where is Whaley? Moving Skull. Again.
nocode,As it is only about Greece today... #lastdays to revisit ancient Greek art
happy,you are very welcome and see you in July
happy,Fully agree huge congratulations :
nocode,#AskTheGallery How highly do you rate your tenure at &amp; what was your greatest achievement?
nocode,le journal est sorti de presse! Les unes d'aujourd'hui via
happy,Wow. Great work Jackson Pollock exhibition is going to be amazing.
nocode,"Worth hearing, just shut your eyes"
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
nocode,This is the gold Roman wedding ring mentioned in my novel SUMMER OF FIRE. This one from the
happy,this is real art a great inspiration
nocode,. can you attend adjournment debate tomorrow #noprivatisation &amp; #reinstatecandy
nocode,"Look! #Siberian village #landscaoe carved in Narwhal ivory, ?19thC,"
nocode,"Entitled ' and modern British #art', Barbara will explore how the gallery inspired artists like Roger Fry and August Johns."
not-relevant,Buhari joined boko haram in killing Biafra fir the pass three days
happy,One of my favourites -- Napoleon as a comet with a hat
nocode,who holds the biggest archives/ collections relating to the Battle? #Waterloo200
nocode,"VENETO UNESCO THE OPERA, oltre l arexpo' e la Biennale, il Governo del Mondo su"
nocode,"Exhibition Openings, Art Fairs and Events in July 2015 #Soundscapes"
not-relevant,I didnt see these names like this when I made my Twitter name
nocode,#FF
happy,Excited to see students from perform dance pieces inspired by New Rhythms exhib on Sat
happy,"Yes, you heard right, there is a new Jackson Pollock exhibition opening at"
happy,streeton is 'The National Game'1889 on cigar box lid!
happy,artists present their work 27 June looks pretty darn good!
nocode,Have you heard of the Soup Collective? Deborah Laing fills us in....
nocode,Now tell that to our Government
angry,"#AskTheGallery Dr Penny, Will you re-enter negotiations with staff who have been on strike for 35 days?"
nocode,Why #JacksonPollock gave up painting about the 'Jackson Pollock: Blind Spots' exhibition at i
happy|surprise,Look what we have spotted outside The #starwars #lifesize #yoda #nationalgallery #leicestersquare
happy,thanks for the RT!
happy,A gallery in Glasgow could save the union glowing review of 'warm &amp; imaginative'
nocode,"i am at in London, Greater London"
nocode,"""The whole art of war consists in getting at what is on the other side of the hill"" Duke of Wellington. How true at Waterloo"
happy,"It was on Friday and we did not know in Brazil, But today we share their kisses. Beautiful, we love!"
nocode,"If you could invite 3 old master painters to a dinner party, who would they be and why? #AskTheGallery"
happy,He may have destroyed the Jewish Temple though he did also lay the foundations of Carlisle so he was not all bad.
nocode,probably forebear of Dot Per Inch DPI concept of the IT era.
nocode,You might see before me. So let me know what you think.
nocode,This Sat #CastleHill15 is packed with free events indoors &amp; out for all ages plus last chance to see
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
nocode,Last episode of Napoleon series starts in 10 mins. Andrew Roberts visits Paris &amp; the cartoon exhibition
surprise,How did the British double line formation and squad fire work? surely not the entire battalion in one long line 2 deep?
nocode,#Streetphotography #Suffolk #Manchester #SocialDocumentary #People
nocode,follow with interest delivery of his ambitious vision #ff #culturegeek
happy,"Absolutely loved my first visit to such a beautiful collection, so thoughtfully and imaginatively curated."
happy,my fav
not-relevant,Who can not spell 'Solution'? #Spellchecker
nocode,Maclaine the #highwayman robbing Lord Eglington sic on #HounslowHeath #OnThisDay 26th June 1750.
nocode,": the Artists Present… with Beatrice Gibson, Sarah Turner &amp; Larissa Sansour"
happy,"What an amazing facility is the on a par with the Uffizi and the Louvre, well worth a visit"
happy,"Feeling closer to home #IndigenousAustralia. Great a/v displays, does not shy from big issues. #art"
happy,"Our incredible 'small object' store, which we share with and"
nocode,#new #Exhibition #Soundscapes opens on 8 July.
happy,"Thanks to Napoleons Egyptian Expedition, we, the world, nowadays know a lot about ancient Egypt. One very good achievement!!!"
happy,eek! Need to put this date in the diary &amp; get down to the . #love soundscapes. #art #music #life
not-relevant,thanks for following gilldesignled
nocode,Acrobatics with Oscar for #artistreflections
happy,'this is art as nervous breakdown ... and it is majestic' #Pollock
happy|sad,an inspiration to many a girl in search of marriage no doubt. Artists do not make v good husbands regrettably
happy,that is stunning.
nocode,""" Monet married his wife Camille #OnThisDay in 1870. 'The Beach at Trouville'."
happy,"I love showing off in when friends can not see holbein is skull in The Ambassadors, 'you just need to stand there' 💀"
nocode,"Anglo-Saxon drinking horn found in the Taplow burial, dated to the late 6th century AD On display"
nocode,"Hmm that is interesting, it was his aunt Catherine of aragon is badge, was not it?"
nocode,"Save the date for Artist Talk: Svend Bayer Tues 14 July, 1.10pm"
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
surprise,well I never knew that...
nocode,Lothar Götz 'Mirror Image' lothargoetz
happy,I still get a shiver of delight and excitement every time I walk up to the place :0
happy,This is also one of our favourites from the
happy,Managed a last visit if you need extra storage for a couple of my favourites i would be happy to oblige ;
nocode,MT opened at St Pancras #onthisday in 1998! Learn more:
not-relevant,"The second GENOCIDE against #Biafrans as promised by Buhari has begun, 3 dys of unreported aerial Bombadment in Biafraland"
